"Title";"Saga";"Genre";"Synopsis"
"Speedy Gonzales in Los Gatos Bandidos";"";"action";"In a small Mexican village, all the mice were enjoying a fiesta until Los Gatos Bandidos, a group of cats, came and kidnapped them all. Only Slowpoke escaped and sent for his cousin, the fastest mouse in Mexico... Speedy Gonzales! Following the trail of the Bandidos, Speedy will enter each level and try to rescue as many mice as possible while chasing after cheese and avoiding natural hazards. Arriba! Arriba!"
"Castle of Dr. Brain";"";"puzzle";"""Castle of Dr. Brain"" is the first in a series of educational puzzle-games from Sierra. This brain-blasting game is set, how surprisingly, in Dr. Brain's castle, where the player will have to beat Dr. Brain's traps and puzzles in order to fulfill the assignment given. The game consists three levels of difficulty what makes the game a bit different every time it is played."
"Ridge Racer Revolution";"Ridge Racer";"racing";""
"Rage Racer";"Ridge Racer";"racing";"The third ""Ridge Racer"" game again features three tracks, with each of the courses beginning with the same starting line to emerge into a completely distinctive course. Each of the courses take you through a multitude of ancient landmarks, cities, natural wonders such as light houses, tunnels, waterfalls, ruins, European styled villages etc. The graphics however have transformed from bubble gum like unrealistic environments, to drab and very realistic racing courses. On top of the three available tracks available from the onset, another bonus track is earnable as are all courses in reverse."
"Countdown Vampires";"";"action, adventure";"In Casino City, Plata Losa... On the eve of a grand opening party for ""Desert Moon"" -a new hotel casino wiht a horror theme- Detective Keith J. Snyder, assigned to VIP security, is unexpectedly drawn into a horrific nightmare. At the height of the party festivities, a fire breaks out. Emergency sprinklers extinguish the fire, but they also spray some revelers with a mysterious black liquid that suddenly transforms them into vicious vampires! An ominous warning declares that the casino doors will be sealed shut in three minutes. Keith is desperate! But, risking his own survival, he carries out his duty to search for VIP guests and opens new doors to ""Desert Moon."" "
"Takahashi Meijin no Bouken-jima IV";"Wonder Boy";"platforms";"The tranquility of the Master Higgins's (or Takahashi as his real name is) island is once again disturbed. This time, some unknown force is causing havoc throughout the island. And what's worse is that Higgins's 5 dinosaur pals are kidnapped. Naturally, it is up to our straw-skirt-wearing prehistoric hero to save the day."
"Punky Skunk";"";"platforms";"Punky ain't your typical mascot ""with an attitude."" He's a gen-X skunk who loves extreme sports and he's on a mission! He's gotta save his friends, rescue his forest home and stop a mad wolf's diabolical plot to rule the world! Over 30 huge levels with multiple pathways and bonus levels!"
"Starwinder - The Ultimate Space Race";"";"racing";"Get Ready to Rumble on the Rails! Big ships. Big pilots. Big speed. You're Conner Rhoades, the hot new rookie on the deadliest circuit in the galaxy. Do you have what it takes to claim the ultimate prize?"
"Micro Machines V3";"Micro Machines";"racing";"Micro Machines are now able to explore the third dimension. Gameplay still stays the same, but the whole new graphics now look more realistic. Also a lot of new multiplayer options were added."
"X-Men - Mutant Academy 2";"X-Men - Mutant Academy";"vs. fighting";"Train with Professor X to unleash your super-powers and polish your combat skills. Master all-new, over-the-top moves-including aerial combat-as you fight through the ranks of mutants and prove you have what it takes to earn X-MEN status. Plus, get a behind-the-scenes look at X-MEN the Movie concept sketches, costumes and more! "
"X-Men - Mutant Academy";"X-Men - Mutant Academy";"vs. fighting";"Train to learn over-the-top mutant moves and use your special powers to dominate super-villains. It's boot camp for fighters... and only the strongest will survive. "
"The King of Fighters '99 - Millennium Battle";"The King of Fighters";"vs. fighting";""
"Bomberman World";"Bomber Man";"action";"A long time ago, in a Bomberman World far away, there was a group of four evil people called the Dark Force Bombers, who wanted to turn the world into darkness. Our ancestors rallied together and successfully sealed the evil ones into the Blue Crystal. However, after four hundred years, some evil guy named Burglar mysteriously appeared and released the baddies from the Blue Crystal. Now, Bomberman must face his most dangerous opponents ever!"
"Ninja - Shadow of Darkness";"";"action";"Assuming the role of the young ninja Kurosawa, you must guide him through a series of progressively difficult environments. The Ninja is able to collect magic potions, scrolls, extra lives, energy and weapons throughout the levels to help him on his quest."
"Necronomicon - The Dawning of Darkness";"";"graphic adventure";"1927, United States, East Coast. William H. Stanton's life suddenly takes a terrifying turn for the worst. What horrific secret lies behind the mysterious occult experiments performed by the alchemist Herschel? The Necronomicon gives you the keys to the world of the deceased."
"Iridion 3D";"";"shooter";"In the distant regions of our galaxy far beyond the dark limits of the Orion Nebula, a deadly force has been unleashed upon the universe, and is heading straight for Earth. Your Mission - to travel across light-years of uncharted space, to defend the destiny of mankind. With IRIDION 3D, battle against legions of Iridion star cruisers high above the Earth's stratosphere, and travel half a universe away to the heart of the IRIDION Star System, where only you can eliminate the Iridion menace. "
"Magical Chase";"";"shooter";"Ripple is a student of magic, and her teacher is a terrifying witch. Ripple's particulary afraid of her teacher right now, because she's just broken a promise she made to the witch: Ripple took a peek inside the forbidden book Sleeping Demons! No sooner had she opened the cover than out jumped six demons, which raced away! Unless she can catch all six demons and get them back inside the book, the witch will turn Ripple into a frog for breaking her promise! Ripple sets off on her quest with her two Elf-Star friends, Topsy and Turvy. Good luck, Ripple!! "
"CIMA - The Enemy";"";"role play";"The CIMA aliens feed on humankind's hopes and dreams. They build elaborate mazes and trap people inside them as a way of producing their food. A force called ""Gate Guardians"" was created to protect the population from this menace. Three Guardians were on a train delivering settlers to a distant station, when suddenly a portal for another dimension appeared and transported everyone to a strange moon-like place. The Guardians must find the way home and bring back safely every passenger."
